seq1	seq2	score	gap_open	gap_extend	label
prot-0004	prot-0008	152.0	1	1	Positive
prot-0031	prot-0034	146.0	1	1	Positive
prot-0047	prot-0050	151.0	1	1	Positive
prot-0065	prot-0069	137.0	1	1	Positive
prot-0077	prot-0082	207.0	1	1	Positive
prot-0098	prot-0102	63.0	1	1	Positive
prot-0124	prot-0125	413.0	1	1	Positive
prot-0166	prot-0177	106.0	1	1	Positive
prot-0170	prot-0173	124.0	1	1	Positive
prot-0175	prot-0178	110.0	1	1	Positive
prot-0187	prot-0190	141.0	1	1	Positive
prot-0240	prot-0242	135.0	1	1	Positive
prot-0271	prot-0275	285.0	1	1	Positive
prot-0298	prot-0300	175.0	1	1	Positive
prot-0326	prot-0327	163.0	1	1	Positive
prot-0354	prot-0355	215.0	1	1	Positive
prot-0357	prot-0360	163.0	1	1	Positive
prot-0361	prot-0364	468.0	1	1	Positive
prot-0369	prot-0370	291.0	1	1	Positive
prot-0380	prot-0384	396.0	1	1	Positive
prot-0384	prot-0392	379.0	1	1	Positive
prot-0410	prot-0412	266.0	1	1	Positive
prot-0459	prot-0461	250.0	1	1	Positive
prot-0465	prot-0466	236.0	1	1	Positive
prot-0484	prot-0485	131.0	1	1	Positive
prot-0507	prot-0509	191.0	1	1	Positive
prot-0533	prot-0534	350.0	1	1	Positive
prot-0570	prot-0572	260.0	1	1	Positive
prot-0580	prot-0615	184.0	1	1	Positive
prot-0582	prot-0586	170.0	1	1	Positive
prot-0583	prot-0598	207.0	1	1	Positive
prot-0584	prot-0611	220.0	1	1	Positive
prot-0586	prot-0590	206.0	1	1	Positive
prot-0587	prot-0606	247.0	1	1	Positive
prot-0589	prot-0591	298.0	1	1	Positive
prot-0590	prot-0610	162.0	1	1	Positive
prot-0592	prot-0601	317.0	1	1	Positive
prot-0594	prot-0596	202.0	1	1	Positive
prot-0595	prot-0620	207.0	1	1	Positive
prot-0597	prot-0621	147.0	1	1	Positive
prot-0600	prot-0605	135.0	1	1	Positive
prot-0602	prot-0616	138.0	1	1	Positive
prot-0605	prot-0615	139.0	1	1	Positive
prot-0609	prot-0611	256.0	1	1	Positive
prot-0614	prot-0616	222.0	1	1	Positive
prot-0659	prot-0661	171.0	1	1	Positive
prot-0735	prot-0736	399.0	1	1	Positive
prot-0776	prot-0779	335.0	1	1	Positive
prot-0829	prot-0832	90.0	1	1	Positive
prot-0860	prot-0862	80.0	1	1	Positive
prot-0018	prot-0198	111.0	1	1	Negative
prot-0035	prot-0071	88.0	1	1	Negative
